channel_id,upload_playlist_id,video_id
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,afSqZ5QM52g
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,p7WPjZ92lgo
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,fheXfVSCvWk
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,HXtDkyMwpsw
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,uO77z6wjGLY
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,oSjwJfm1i5I
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,mSuxsxQPq5c
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,8TwM6jZieNs
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,Rk72tpapVAA
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,bTaZZIH_3wQ
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,MlG2883VWtw
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,QtiSrLGZV70
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,yXFagHvX7bE
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,XZyTaqgofiI
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,OHzsWWVc4rg
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,7yVpqZffimU
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,Fc2YSSAoqT8
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,IKDSkcnI2eY
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,EsYX4W3k9Ak
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,chHr6KtRSWE
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,QYaMZRLBFHM
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,5k3lfBuU1Xo
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,ACkzwojbBUA
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,pxV6CLCe_lE
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,ekcb2rItepg
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,---MpbQM4vg
UCuPwTACOC_FCSwg0qli98TA,UUuPwTACOC_FCSwg0qli98TA,MYBrhLteK7M
